Date;TS;Temp;RH;VPD;SR;WS;;
26/09/2023;22:45:00;26.63;87.30%;;0;0;;
26/09/2023;23:00:00;26.56;87.70%;;0;0;;
26/09/2023;23:15:00;26.55;88.10%;;0;0;;
26/09/2023;23:30:00;26.36;88.90%;;0;0;;
26/09/2023;23:45:00;26.28;89.50%;;0;0;;
27/09/2023;00:00:00;26.16;89.70%;;0;0;;
27/09/2023;00:15:00;26.11;90.70%;;0;0;;
27/09/2023;00:30:00;25.91;90.70%;;0;0;;
27/09/2023;00:45:00;25.89;90.70%;;0;0;;
27/09/2023;01:00:00;25.85;90.90%;;0;0;;
27/09/2023;01:15:00;25.69;91.20%;;0;0;;
27/09/2023;01:30:00;25.58;91.20%;;0;0;;
27/09/2023;01:45:00;25.56;91.30%;;0;0;;
27/09/2023;02:00:00;25.51;91.60%;;0;0;;
27/09/2023;02:15:00;25.51;92.40%;;0;0;;
27/09/2023;02:30:00;25.45;92.60%;;0;0;;
27/09/2023;02:45:00;25.38;92.60%;;0;0;;
27/09/2023;03:00:00;25.38;92.60%;;0;0;;
27/09/2023;03:15:00;25.31;92.40%;;0;0;;
27/09/2023;03:30:00;25.2;92.70%;;0;0;;
27/09/2023;03:45:00;25.18;92.70%;;0;0;;
27/09/2023;04:00:00;25.11;93.40%;;0;0;;
27/09/2023;04:15:00;24.96;93.60%;;0;0;;
27/09/2023;04:30:00;24.95;93.20%;;0;0;;
